,composition,UUID,cell,positions,numbers
100321,Pt2TiIn,2f2cef54-2430-4ab7-a54e-553fc34f9e2a,"[[2.84816623, 2.84816623, -0.0], [-2.84816623, 2.84816623, 0.0], [0.0, 0.0, 8.26951481]]","[[0.5, 3.898027484951806e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 3.898027484951806e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]",[78 78 78 78 22 22 49 49]
29486,ZrCdGa,cf7fc8f6-d746-4026-b6cd-7c9a84c63210,"[[3.31190509, 3.31190509, 0.0], [-3.31190509, 3.31190509, 0.0], [-0.0, -0.0, 6.60772247]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[40 40 48 48 31 31]
15406,Fe2RhTl,60c3bc8c-05e1-40e3-9e31-4e3480ece41f,"[[2.73891086, 2.73891086, 0.0], [-2.73891086, 2.73891086, -0.0], [0.0, -0.0, 8.14706293]]","[[0.5, 0.0, 0.25], [0.0, 0.49999999999999983, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 45 45 81 81]
57985,AuCrSn,2750a717-58c2-4a34-b6fa-08233f3f1258,"[[-0.0, 3.18684657, 3.18684657], [3.18684657, -0.0, 3.18684657], [3.18684657, 3.18684657, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[79 24 50]
66545,TiAgAl,f8c8e243-1355-429c-98bc-9c931413211c,"[[2.7982728, 2.7982728, 0.0], [-2.7982728, 2.7982728, -0.0], [0.0, -0.0, 7.75873516]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[22 22 47 47 13 13]
5840,V2FeGa,4366fe5d-ce0a-4b31-92f1-bd0c29bbe732,"[[2.96117471, 2.96117471, -0.0], [-2.96117471, 2.96117471, -0.0], [0.0, 0.0, 5.92793923]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[23 23 23 23 26 26 31 31]
34521,RuMnSb,7640013f-a6bf-476c-8039-f91071a7d460,"[[3.03962289, 3.03962289, 0.0], [-3.03962289, 3.03962289, 0.0], [0.0, 0.0, 6.1045807]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 25 25 51 51]
16143,Fe2IrBi,3263aa7d-372d-459e-8640-60df0407f7da,"[[2.79774478, 2.79774478, -0.0], [-2.79774478, 2.79774478, 0.0], [0.0, 0.0, 8.24844973]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 77 77 83 83]
65328,Sc2CdAs,7db13452-91e3-47af-b1b9-2f1d112b0336,"[[2.86565625, 2.86565625, 0.0], [-2.86565625, 2.86565625, 0.0], [0.0, 0.0, 10.1963013]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[21 21 21 21 48 48 33 33]
4775,Ti2WIn,0d8fb21a-d147-4b8f-a464-b036d7b5b517,"[[0.0, 3.26025026, 3.26025026], [3.26025026, 0.0, 3.26025026], [3.26025026, 3.26025026, -0.0]]","[[0.2500000000000001, 0.2500000000000001, 0.24999999999999986], [0.7500000000000003, 0.7500000000000003, 0.7499999999999997], [0.5000000000000001, 0.5000000000000001, 0.4999999999999998], [0.0, 0.0, 0.0]]",[22 22 74 49]
