,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom),total magnetization (muB/f.u.),band gap (eV)
64536,ScTiP,b047f4e6-4650-47e5-9d1a-176a9cf5148b,"[[2.45366437, 2.45366437, 0.0], [-2.45366437, 2.45366437, -0.0], [0.0, 0.0, 9.64822627]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[21 21 22 22 15 15],-7.043302361666666,-0.5552218978571423,0.6574634505582576,0.23645675,
9964,Cr2AgGa,eb9b0e7c-db5f-4351-98c1-7f5cfc3ddf5b,"[[3.17918115, 3.17918115, 0.0], [-3.17918115, 3.17918115, 0.0], [0.0, 0.0, 6.32981736]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 47 47 31 31],-5.80153826125,0.3637972862499996,0.4183275765524194,7.09552075,
101796,Au2VSn,ad68ffcd-af51-4463-81a2-1a74d56ebaf7,"[[2.99047637, 2.99047637, -0.0], [-2.99047637, 2.99047637, 0.0], [-0.0, -0.0, 8.34197922]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[79 79 79 79 23 23 50 50],-4.7494661425,0.0609586462499995,0.206701025334074,3.02980875,
17004,Co2MnBi,08b010d2-425f-47d9-bdc5-ee09ae108b19,"[[0.0, 3.09071063, 3.09071063], [3.09071063, 0.0, 3.09071063], [3.09071063, 3.09071063, -0.0]]","[[0.25, 0.25, 0.25], [0.7500000000000001, 0.7500000000000001, 0.7499999999999998], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[27 27 25 83],-6.4947187225,0.2074724637500002,0.2211486288649421,6.0007468,0.0
72870,Fe2PtP,037f9aea-725d-403f-bc52-232883dca06b,"[[2.62989018, 2.62989018, 0.0], [-2.62989018, 2.62989018, 0.0], [0.0, 0.0, 7.50653599]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 78 78 15 15],-7.031835595,-0.0173855483928573,0.467743328847127,5.41436595,
8625,Cr2FeGa,9c229ea0-e313-4dbd-a21e-35406f79ab51,"[[2.89000538, 2.89000538, 0.0], [-2.89000538, 2.89000538, 0.0], [0.0, 0.0, 5.78961396]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 26 26 31 31],-7.5192066725,0.0343983824999991,0.1281620220312493,0.9880612,0.0
15698,FeCdBi,6befe8a0-6459-40dd-b60d-778ff1df168c,"[[3.25579999, 3.25579999, -0.0], [-3.25579999, 3.25579999, -0.0], [0.0, 0.0, 6.53645577]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 48 48 83 83],-3.93411042,0.3658114366666662,0.3658114366666662,2.3923972,
11469,Mn2Bi,d2592cba-a999-47b4-806f-dbe57e8d036e,"[[3.12118097, 3.12118097, 0.0], [-3.12118097, 3.12118097, -0.0], [-0.0, 0.0, 6.22144875]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 83 83],-6.944734968333333,0.252474826666667,0.252474826666667,1.0002529,
103090,La2TiTl,8365b2f0-d807-4cb0-ab09-feea18f00cfb,"[[3.36883203, 3.36883203, 0.0], [-3.36883203, 3.36883203, -0.0], [0.0, -0.0, 9.87998203]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 57 57 22 22 81 81],-4.9134901525,0.0190235018750009,0.2538221034375008,1.2466449,
93442,Ta2MnSi,a61eeae1-07ee-4ab5-8d05-c6ba21717123,"[[2.62838137, 2.62838137, 0.0], [-2.62838137, 2.62838137, 0.0], [0.0, 0.0, 8.8184301]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[73 73 73 73 25 25 14 14],-9.6566819225,-0.1845040200000003,0.3218989250107753,1.3040906,
