,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
71463,Mn2IrGa,ca5feb8c-69bd-4a95-82b8-4c4a1b3ac12a,"[[2.71024883, 2.71024883, -0.0], [-2.71024883, 2.71024883, 0.0], [0.0, 0.0, 7.40621131]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[25 25 25 25 77 77 31 31],-7.7536261375,-0.3853509850000005,983.8
12071,Mn2ZnGe,03fe1854-f790-4966-b611-454926827455,"[[2.69162935, 2.69162935, 0.0], [-2.69162935, 2.69162935, -0.0], [0.0, -0.0, 7.31855293]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[25 25 25 25 30 30 32 32],-5.93316404125,-0.0997368400000002,646.8
71572,Mn2PtIn,efbe8195-7fdb-4d6e-967e-350dfa9f0b72,"[[2.88746869, 2.88746869, -0.0], [-2.88746869, 2.88746869, -0.0], [-0.0, -0.0, 7.61278017]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 78 78 49 49],-6.8190608925,-0.2249358149999993,297.4
100642,Pt2CoSn,a68bf9d1-b6c7-48e6-a283-c99a8b4416d1,"[[2.84277649, 2.84277649, -0.0], [-2.84277649, 2.84277649, 0.0], [0.0, -0.0, 7.77177789]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[78 78 78 78 27 27 50 50],-5.90916223625,-0.1362718637500002,14.2
26644,Y2CoPb,de22b940-e576-44b4-afd7-32ece33c7cc9,"[[3.63449777, 3.63449777, -0.0], [-3.63449777, 3.63449777, 0.0], [-0.0, -0.0, 7.29344382]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[39 39 39 39 27 27 82 82],-6.06926471875,-0.2007672200000003,116.3
19404,NiMnGa,e5bd1c68-ffe5-44e9-94e8-ba540043e5b3,"[[2.81833035, 2.81833035, 0.0], [-2.81833035, 2.81833035, 0.0], [-0.0, -0.0, 5.61433794]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.7500000000000001], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[28 28 25 25 31 31],-5.794719266666667,-0.0471837499999997,21.7
15499,Fe2PdSb,eb0a2717-8d34-4b31-a9f0-fbd25cb38665,"[[2.7239324, 2.7239324, 0.0], [-2.7239324, 2.7239324, -0.0], [0.0, -0.0, 8.23216625]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 46 46 51 51],-6.4766729175,-0.0029850187500004,1257.6
36100,Rh2VSi,27375724-7bba-4f81-b4fa-ccc014a0d718,"[[2.7499303, 2.7499303, -0.0], [-2.7499303, 2.7499303, -0.0], [-0.0, 0.0, 7.07823695]]","[[0.4999999999999999, 4.037276961620287e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.4999999999999999, 4.037276961620287e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[45 45 45 45 23 23 14 14],-7.8368366575,-0.6113511475000006,151.3
13683,Fe2ScSn,27c06aca-8c98-4ac0-ae96-83ca0a8303e8,"[[3.10192268, 3.10192268, 0.0], [-3.10192268, 3.10192268, 0.0], [0.0, 0.0, 6.20384536]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 21 21 50 50],-6.78347933,-0.1249873387499995,94.3
28653,Zr2CoAl,30feb806-3e4d-40f5-927d-f57b29fccadd,"[[3.30429899, 3.30429899, 0.0], [-3.30429899, 3.30429899, 0.0], [0.0, 0.0, 6.63840986]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[40 40 40 40 27 27 13 13],-7.23883656875,-0.2860983225000009,14.3
