,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
49795,WRuAl,930ce69d-fd9f-47ba-9b1b-623a2e0597a5,"[[2.914732, 2.914732, -0.0], [-2.914732, 2.914732, 0.0], [0.0, 0.0, 6.23969804]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[74 74 44 44 13 13],-8.18927425,0.4502068283333322,
72839,Fe2IrPb,ea49761e-4254-4ead-b727-465791c0cf36,"[[2.84409463, 2.84409463, -0.0], [-2.84409463, 2.84409463, 0.0], [-0.0, 0.0, 7.669157]]","[[0.4999999999999999, 3.90360789305086e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.7500000000000001], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.90360789305086e-17, 0.7500000000000001], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[26 26 26 26 77 77 82 82],-6.86799471125,0.3761485662500003,
34781,RuNiPb,a5c9b8ba-8ee9-4f36-a9c4-35900bbe6412,"[[3.05709278, 3.05709278, 0.0], [-3.05709278, 3.05709278, -0.0], [-0.0, -0.0, 6.142306]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 28 28 82 82],-5.459992713333333,0.638266648333334,
44900,Hf2VAs,242d07be-cb29-4191-b462-baa6f970932e,"[[2.93505695, 2.93505695, 0.0], [-2.93505695, 2.93505695, 0.0], [0.0, 0.0, 8.38440114]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[72 72 72 72 23 23 33 33],-8.518052595,-0.1471891512500001,
76134,Cu2RhAs,75afda4c-dc4e-4a9c-be7b-ca5bbb99b275,"[[2.64985959, 2.64985959, -0.0], [-2.64985959, 2.64985959, 0.0], [-0.0, -0.0, 7.65634142]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[29 29 29 29 45 45 33 33],-4.916601215,-0.0588923787500004,
95494,W2RhTl,451dd627-74f4-4ee8-9841-5f67b5c682ee,"[[2.93272344, 2.93272344, -0.0], [-2.93272344, 2.93272344, 0.0], [0.0, 0.0, 7.85555866]]","[[0.4999999999999999, 3.7856383233502454e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.7856383233502454e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[74 74 74 74 45 45 81 81],-8.243512195,0.5987355506250012,
96750,Re2RhIn,135307ba-07ca-46e8-a607-932bb2100120,"[[2.86192131, 2.86192131, 0.0], [-2.86192131, 2.86192131, -0.0], [0.0, 0.0, 7.75501986]]","[[0.5, 3.8792926302545915e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 3.8792926302545915e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]",[75 75 75 75 45 45 49 49],-8.3137799025,0.3385908549999996,
33631,MoAgBi,f9054075-cb2c-41ea-abd6-fe878203db1a,"[[0.0, 3.30309834, 3.30309834], [3.30309834, 0.0, 3.30309834], [3.30309834, 3.30309834, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[42 47 83],-5.045653456666667,0.7936378283333335,
25078,ZnRhAs,c6c3e9ce-1b57-4b67-b3f4-909ea5af0f72,"[[2.51618536, 2.51618536, 0.0], [-2.51618536, 2.51618536, 0.0], [-0.0, 0.0, 8.23194238]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[30 30 45 45 33 33],-4.39270217,-0.04706244,
57955,AuCrSi,7b5deafd-ed54-4e48-8948-33554b38e1ea,"[[2.40490663, 2.40490663, 0.0], [-2.40490663, 2.40490663, 0.0], [0.0, 0.0, 8.66180446]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[79 79 24 24 14 14],-5.82774869,0.226447186666667,
